"Reference","Value","Qty","DNP","DkeyPart","MfgPart","Manufacturer"
"C1,C2","18p","2","","399-C0805C180K5GACTUCT-ND","C0805C180K5GACTU","Kemet"
"C3","10u","1","","311-1959-1-ND","CC1206KKX7R8BB106","Yageo"
"C4,C5","22u","2","","13-CC1206KFX5R8BB226CT-ND","CC1206KFX5R8BB226","Yageo"
"D1,D2,D3,D4","grn","4","","754-1438-1-ND","APT2012ZGC","Kingbright"
"D5,D6","sch","2","","478-7802-1-ND","SD0805S040S0R5","Kyocera AVX"
"J1","ISP","1","","A122759-ND","1761681-1","TE Connectivity"
"J2","FTDI","1","","A28630-ND","103906-5","TE Connectivity"
"J3","LEDs","1","","A98338-ND","282834-8","TE Connectivity"
"J4","serv1","1","","A28621-ND","103906-2","TE Connectivity"
"J5","serv2","1","","A28621-ND","103906-2","TE Connectivity"
"J6","servo","1","","A98333-ND","282834-2","TE Connectivity"
"J7","spk","1","","A98333-ND","282834-2","TE Connectivity"
"J8","batt","1","","A98333-ND","282834-2","TE Connectivity"
"J9","switch","1","","A98335-ND","282834-4","TE Connectivity"
"Q1,Q2,Q3,Q4,Q5","BS170F","5","","BS170FCT-ND","BS170FTA","Diodes Incorporated"
"R1","47k","1","","311-47.0KCRCT-ND","RC0805FR-0747KL","Yageo"
"R2,R11,R12","220k","3","","311-220KCRCT-ND","RC0805FR-07220KL","Yageo"
"R3,R5,R7,R9","4k7","4","","311-4.70KCRCT-ND","RC0805FR-074K7L","Yageo"
"R4,R6,R8,R10","1k","4","","311-1.00KCRCT-ND","RC0805FR-071KL","Yageo"
"S1","trig","1","","SW1021CT-ND","B3U-1100P","Omron Electronics"
"S2","rst","1","","SW1021CT-ND","B3U-1100P","Omron Electronics"
"SW1","power","1","","CKN1812-ND","ES02MCBE","CK Components"
"U1","328P","1","","ATMEGA328P-ANRCT-ND","ATMEGA328P-ANR","Atmel"
"U2","reg","1","","MCP1703AT-5002E/CBCT-ND","MCP1703AT-5002E/CB","Microchip Technology"
"Y1","16MHz","1","","50-ECS-160-18-5PX-CKM-CT-ND","ECS-160-18-5PX-CKM-TR","ECS Inc"
